sample_id,river,river_label,setting,tol_multiplier,min_pairs,delta_s_over_W
1,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.292352
2,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.263778
3,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.299146
4,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.338536
5,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.259463
6,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.259464
7,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.341065
8,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.304535
9,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.248874
10,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.294415
11,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.249146
12,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.249042
13,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.280888
14,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.183902
15,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.192379
16,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.244697
17,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.224423
18,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.284141
19,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.229139
20,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.206446
21,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.335954
22,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.25984
23,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.273039
24,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.205886
25,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.245503
26,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.274992
27,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.218205
28,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.286906
29,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.242971
30,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.256874
31,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.242923
32,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.353353
33,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.269393
