river,year,row_id,x,y,DamBin,DamBin_encoded,Regulated_binary,DamDistance_km,migration_rate_m_per_yr,curvature,EVI_change_2000_2018_unitless,EVI_change_2018_2024_unitless,Delta_EVI_change_unitless,CV_runoff_ERA5_2000_2018_unitless,CV_runoff_ERA5_2018_2024_unitless,Delta_ERA5_CV_unitless,__source,epoch,is_training,ds_m,s_m,curv_sign,curv_sign_ff,bend_id,U_mode,CV_runoff_selected,CV_runoff_z,phase_lag_min_m,phase_lag_max_m,phase_lag_step_m,migration_abs_m_per_yr
Blackwarrior,2000,0,419935.1207,3599760.184,10–30 km,2,1,27.17928093,1.388887921,-0.000592521,0.070722076,0.484330338,0.413608262,1.275472482,0.956352162,-0.31912032,features_model_ready_with_Cahaba_NoDam0.csv,2000-2018,TRUE,,0,-1,-1,Blackwarrior_2000_0,absorbed,1.275472482,2.152179946,0,3000,86,1.388887921
Blackwarrior,2000,0,419935.1207,3599760.184,10–30 km,2,1,27.17928093,1.388887921,-0.000592521,0.070722076,0.484330338,0.413608262,1.275472482,0.956352162,-0.31912032,features_model_ready_cleaned.csv,2000-2018,TRUE,0,0,-1,-1,Blackwarrior_2000_0,absorbed,1.275472482,2.152179946,0,3000,86,1.388887921
Blackwarrior,2000,1,419943.0999,3599968.804,10–30 km,2,1,26.97044748,1.776685071,-0.000845268,0.023425213,0.374473342,0.351048129,1.275472482,0.956352162,-0.31912032,features_model_ready_with_Cahaba_NoDam0.csv,2000-2018,TRUE,208.7725366,208.7725366,-1,-1,Blackwarrior_2000_0,absorbed,1.275472482,2.152179946,0,3000,86,1.776685071
Blackwarrior,2000,1,419943.0999,3599968.804,10–30 km,2,1,26.97044748,1.776685071,-0.000845268,0.023425213,0.374473342,0.351048129,1.275472482,0.956352162,-0.31912032,features_model_ready_cleaned.csv,2000-2018,TRUE,0,208.7725366,-1,-1,Blackwarrior_2000_0,absorbed,1.275472482,2.152179946,0,3000,86,1.776685071
Blackwarrior,2000,2,420002.2855,3600164.807,10–30 km,2,1,26.77187823,6.057063376,-0.000526723,0.051466172,0.40057051,0.349104338,1.275472482,0.956352162,-0.31912032,features_model_ready_with_Cahaba_NoDam0.csv,2000-2018,TRUE,204.744014,413.5165506,-1,-1,Blackwarrior_2000_0,absorbed,1.275472482,2.152179946,0,3000,86,6.057063376
Blackwarrior,2000,2,420002.2855,3600164.807,10–30 km,2,1,26.77187823,6.057063376,-0.000526723,0.051466172,0.40057051,0.349104338,1.275472482,0.956352162,-0.31912032,features_model_ready_cleaned.csv,2000-2018,TRUE,0,413.5165506,-1,-1,Blackwarrior_2000_0,absorbed,1.275472482,2.152179946,0,3000,86,6.057063376
Blackwarrior,2000,3,420111.6568,3600436.966,10–30 km,2,1,26.49518077,2.038948517,-0.000469833,0.075946022,0.170708219,0.094762197,1.275472482,0.956352162,-0.31912032,features_model_ready_with_Cahaba_NoDam0.csv,2000-2018,TRUE,293.3131476,706.8296981,-1,-1,Blackwarrior_2000_0,absorbed,1.275472482,2.152179946,0,3000,86,2.038948517
Blackwarrior,2000,3,420111.6568,3600436.966,10–30 km,2,1,26.49518077,2.038948517,-0.000469833,0.075946022,0.170708219,0.094762197,1.275472482,0.956352162,-0.31912032,features_model_ready_cleaned.csv,2000-2018,TRUE,0,706.8296981,-1,-1,Blackwarrior_2000_0,absorbed,1.275472482,2.152179946,0,3000,86,2.038948517
Blackwarrior,2000,4,420207.0725,3600566.7,10–30 km,2,1,26.361742,-5.18664282,-0.00030953,0.037549841,0.3664108,0.328860959,1.305027957,0.967452609,-0.337575348,features_model_ready_with_Cahaba_NoDam0.csv,2000-2018,TRUE,161.0436791,867.8733772,-1,-1,Blackwarrior_2000_0,absorbed,1.305027957,2.408036438,0,3000,86,5.18664282
Blackwarrior,2000,4,420207.0725,3600566.7,10–30 km,2,1,26.361742,-5.18664282,-0.00030953,0.037549841,0.3664108,0.328860959,1.305027957,0.967452609,-0.337575348,features_model_ready_cleaned.csv,2000-2018,TRUE,0,867.8733772,-1,-1,Blackwarrior_2000_0,absorbed,1.305027957,2.408036438,0,3000,86,5.18664282
