river,year,row_id,x,y,DamBin,DamBin_encoded,Regulated_binary,DamDistance_km,migration_rate_m_per_yr,curvature_1_per_m,EVI_change_2000_2016_unitless,EVI_change_2016_2024_unitless,Delta_EVI_change_unitless,CV_runoff_ERA5_2000_2016_unitless,CV_runoff_ERA5_2016_2024_unitless,Delta_ERA5_CV_unitless
Blackwarrior,2000,0,419935.1207,3599760.184,10–30 km,2,1,27.17928093,1.388887921,-0.000592521,0.070722076,0.484330338,0.413608262,1.275472482,0.956352162,-0.31912032
Blackwarrior,2000,1,419943.0999,3599968.804,10–30 km,2,1,26.97044748,1.776685071,-0.000845268,0.023425213,0.374473342,0.351048129,1.275472482,0.956352162,-0.31912032
Blackwarrior,2000,2,420002.2855,3600164.807,10–30 km,2,1,26.77187823,6.057063376,-0.000526723,0.051466172,0.40057051,0.349104338,1.275472482,0.956352162,-0.31912032
Blackwarrior,2000,3,420111.6568,3600436.966,10–30 km,2,1,26.49518077,2.038948517,-0.000469833,0.075946022,0.170708219,0.094762197,1.275472482,0.956352162,-0.31912032
Blackwarrior,2000,4,420207.0725,3600566.7,10–30 km,2,1,26.361742,-5.18664282,-0.00030953,0.037549841,0.3664108,0.328860959,1.305027957,0.967452609,-0.337575348
Blackwarrior,2000,5,420310.5173,3600754.054,10–30 km,2,1,26.17073416,3.71406055,-1.12e-05,-0.005268633,0.550014669,0.555283302,1.305027957,0.967452609,-0.337575348
Blackwarrior,2000,6,420498.711,3601025.466,10–30 km,2,1,25.89360014,7.316085787,-8.01e-05,0.039053224,0.279584384,0.24053116,1.305027957,0.967452609,-0.337575348
Blackwarrior,2000,7,420667.4167,3601313.599,10–30 km,2,1,25.60140468,-5.075559398,-0.001037887,0.04825716,0.334536022,0.286278862,1.305027957,0.967452609,-0.337575348
Blackwarrior,2000,8,420796.8812,3601428.893,10–30 km,2,1,25.48371393,0.945181644,-0.004985658,0.108335564,0.302039715,0.193704151,1.305027957,0.967452609,-0.337575348
Blackwarrior,2000,9,420993.1265,3601391.5,10–30 km,2,1,25.5187588,2.062387761,-0.001053126,0.015853823,0.417010027,0.401156204,1.305027957,0.967452609,-0.337575348
Blackwarrior,2000,10,421191.3614,3601280.416,10–30 km,2,1,25.62903283,-6.467077829,0.000205173,-0.006041841,0.480792966,0.486834807,1.305027957,0.967452609,-0.337575348
Blackwarrior,2000,11,421414.7172,3601233.399,10–30 km,2,1,25.67695221,4.927000967,0.00049502,-0.044986993,0.509887888,0.554874881,1.305027957,0.967452609,-0.337575348
Blackwarrior,2000,12,421594.8407,3601172.989,10–30 km,2,1,25.73950629,-1.583559833,0.00137199,-0.131582678,0.498894632,0.63047731,1.305027957,0.967452609,-0.337575348
Blackwarrior,2000,13,421776.1529,3601180.622,10–30 km,2,1,25.7352864,-9.671564484,-6.79e-05,-0.119768472,0.457362657,0.577131129,1.305027957,0.967452609,-0.337575348
Blackwarrior,2000,14,422181.0242,3601223.877,10–30 km,2,1,25.70428404,1.391028697,-0.00059741,-0.052216107,0.400841525,0.453057632,1.305027957,0.967452609,-0.337575348
Blackwarrior,2000,15,422573.8467,3601142.109,10–30 km,2,1,25.80394435,3.639694851,-0.000692545,-0.12625687,0.534883591,0.661140461,1.305027957,0.967452609,-0.337575348
Blackwarrior,2000,16,422976.5167,3600883.187,10–30 km,2,1,26.08691216,-11.9811038,-0.000774991,0.007473104,0.27301549,0.265542386,1.305027957,0.967452609,-0.337575348
Blackwarrior,2000,17,423133.2005,3600641.477,10–30 km,2,1,26.3391834,0.885422587,-0.000631688,0.003542005,0.372837342,0.369295337,1.305027957,0.967452609,-0.337575348
Blackwarrior,2000,18,423338.5962,3600344.325,10–30 km,2,1,26.65133822,-10.3691134,-0.00218865,0.016002668,0.257323767,0.241321099,1.305027957,0.967452609,-0.337575348
Blackwarrior,2000,19,423324.2924,3600211.538,10–30 km,2,1,26.78260504,1.636159769,-0.003179872,-0.011092243,0.357770789,0.368863032,1.305027957,0.967452609,-0.337575348
Blackwarrior,2000,20,423063.9968,3600045.062,10–30 km,2,1,26.9293456,5.767118102,0.000159687,0.056344669,0.254901171,0.198556502,1.305027957,0.967452609,-0.337575348
Blackwarrior,2000,21,422720.8233,3599691.547,10–30 km,2,1,27.26084521,10.71583252,0.000924826,0.052083351,0.236709019,0.184625668,1.305027957,0.967452609,-0.337575348
Blackwarrior,2000,22,422661.5783,3599501.9,10–30 km,2,1,27.44704378,-6.313144909,0.001665143,0.024374847,0.278984208,0.254609361,1.305027957,0.967452609,-0.337575348
Blackwarrior,2000,23,422667.2859,3599203.907,10–30 km,2,1,27.74501902,7.186536907,0.000220538,0.054560103,0.350439346,0.295879243,1.305027957,0.967452609,-0.337575348
Blackwarrior,2000,24,422654.4793,3598887.501,10–30 km,2,1,28.06042596,-6.160690804,0.000327581,0.038124856,0.153078036,0.11495318,1.305027957,0.967452609,-0.337575348
Blackwarrior,2000,25,422696.4424,3598666.691,10–30 km,2,1,28.28320403,4.571080804,0.001367613,-0.044816737,0.90677022,0.951586957,1.305027957,0.967452609,-0.337575348
Blackwarrior,2000,26,422733.9051,3598428.489,10–30 km,2,1,28.52314455,4.429747884,0.001547824,-0.041868308,0.291319066,0.333187374,1.305027957,0.967452609,-0.337575348
Blackwarrior,2000,27,423008.2684,3598236.468,10–30 km,2,1,28.73091632,-1.123323702,0.001076012,-0.047462966,0.413733977,0.461196943,1.305027957,0.967452609,-0.337575348
Blackwarrior,2000,28,423241.5787,3598123.255,10–30 km,2,1,28.85951119,4.712468634,0.005024297,-0.043180497,0.329137268,0.372317765,1.305027957,0.967452609,-0.337575348
Blackwarrior,2000,29,423383.7973,3598208.506,10–30 km,2,1,28.78488774,-1.460920588,0.0016863,-0.061856986,0.433585684,0.49544267,1.305027957,0.967452609,-0.337575348
Blackwarrior,2000,30,423546.9835,3598547.519,10–30 km,2,1,28.45974518,4.970589474,-5.25e-05,-0.049009914,0.292897135,0.341907049,1.305027957,0.967452609,-0.337575348
Blackwarrior,2000,31,423741.0482,3598943.924,10–30 km,2,1,28.08147571,-10.87994434,-0.000337005,0.045464143,0.653878234,0.608414091,1.305027957,0.967452609,-0.337575348
Blackwarrior,2000,32,424088.5057,3599377.598,10–30 km,2,1,27.68356633,6.151576524,-0.000158353,0.066225109,0.266853767,0.200628658,1.305027957,0.967452609,-0.337575348
Blackwarrior,2000,33,424543.3168,3599755.635,10–30 km,2,1,27.35935661,4.604301038,0.000220167,0.135825643,0.289303546,0.153477903,1.305027957,0.967452609,-0.337575348
Blackwarrior,2000,34,424855.7778,3600142.673,10–30 km,2,1,27.01565038,13.39908554,0.000420151,0.034078794,0.311450491,0.277371697,1.305027957,0.967452609,-0.337575348
Blackwarrior,2000,35,425096.7279,3600684.234,10–30 km,2,1,26.5133436,18.15186853,0.000670357,0.048880079,0.336777648,0.287897569,1.305027957,0.967452609,-0.337575348
Blackwarrior,2000,36,425134.0111,3601046.195,10–30 km,2,1,26.16082943,4.437894607,0.000427914,0.053926365,0.28332975,0.229403385,1.305027957,0.967452609,-0.337575348
Blackwarrior,2000,37,425043.2731,3601677.912,10–30 km,2,1,25.52243669,0.442374574,9.36e-05,0.05745589,0.278348574,0.220892684,1.305027957,0.967452609,-0.337575348
Blackwarrior,2000,38,424968.7854,3602304.822,10–30 km,2,1,24.89125489,-3.661704711,-4.83e-05,-0.008048413,0.050006052,0.058054465,1.238918841,0.953451531,-0.28546731
Blackwarrior,2000,42,425351.188,3603304.638,10–30 km,2,1,23.96640065,-7.586284348,-0.003490795,0.072468694,0.268942271,0.196473577,1.238918841,0.953451531,-0.28546731
Blackwarrior,2000,43,425526.5054,3603143.815,10–30 km,2,1,24.15565724,-1.007465308,-0.001262172,0.066362397,0.265995654,0.199633257,1.238918841,0.953451531,-0.28546731
Blackwarrior,2000,44,425667.8934,3602868.634,10–30 km,2,1,24.45197738,7.317563866,0.000972135,0.074234453,0.417873379,0.343638926,1.238918841,0.953451531,-0.28546731
Blackwarrior,2000,45,425779.1855,3602718.353,10–30 km,2,1,24.62025739,4.55572785,0.012152119,0.106927809,0.461347468,0.354419659,1.238918841,0.953451531,-0.28546731
Blackwarrior,2000,46,425992.6147,3602885.307,10–30 km,2,1,24.49705605,-0.440033573,0.00078895,0.046018201,0.454558433,0.408540232,1.238918841,0.953451531,-0.28546731
Blackwarrior,2000,47,426208.6577,3603588.405,10–30 km,2,1,23.85215682,22.02533268,0.000301771,0.027747083,0.447536894,0.419789811,1.238918841,0.953451531,-0.28546731
Blackwarrior,2000,48,426161.0005,3604263.302,10–30 km,2,1,23.18226953,-12.12733457,0.000169787,0.037857572,0.28868853,0.250830958,1.238918841,0.953451531,-0.28546731
Blackwarrior,2000,49,426104.5316,3604886.529,10–30 km,2,1,22.56132241,-4.885660859,-0.000255683,0.036268871,0.347132643,0.310863772,1.238918841,0.953451531,-0.28546731
Blackwarrior,2000,50,426078.9789,3605161.687,10–30 km,2,1,22.28712472,-1.222085814,-0.001402405,0.106655983,0.277744711,0.171088728,1.238918841,0.953451531,-0.28546731
Blackwarrior,2000,51,426270.8604,3605510.945,10–30 km,2,1,21.98982656,-11.01202321,-0.001478427,0.097671955,0.505179142,0.407507187,1.238918841,0.953451531,-0.28546731
Blackwarrior,2000,52,426482.5411,3605607.982,10–30 km,2,1,21.94539379,-1.342392595,-0.003272765,0.140279011,0.453357849,0.313078838,1.238918841,0.953451531,-0.28546731
Blackwarrior,2000,53,426701.5158,3605629.632,10–30 km,2,1,21.97818301,1.217436536,-0.000977201,0.050170252,0.648252991,0.598082739,1.238918841,0.953451531,-0.28546731
Blackwarrior,2000,54,427078.7579,3605429.942,10–30 km,2,1,22.26828098,11.30692769,-0.000276159,0.057012517,0.461227364,0.404214847,1.238918841,0.953451531,-0.28546731
Blackwarrior,2000,55,427478.6464,3605250.001,10–30 km,2,1,22.55004717,-1.07242139,-0.000640767,0.050366578,0.309190599,0.258824021,1.238918841,0.953451531,-0.28546731
Blackwarrior,2000,56,427688.4051,3605015.429,10–30 km,2,1,22.83425297,-2.442932535,-0.001926603,0.045456219,0.366248263,0.320792044,1.238918841,0.953451531,-0.28546731
Blackwarrior,2000,57,427770.2588,3604779.362,10–30 km,2,1,23.08393613,-4.440436969,-0.001283112,0.053277452,0.332406994,0.279129542,1.238918841,0.953451531,-0.28546731
Blackwarrior,2000,58,427687.9634,3604464.268,10–30 km,2,1,23.36327254,-4.000164571,-7.1e-05,0.03757392,0.314458901,0.276884981,1.238918841,0.953451531,-0.28546731
Blackwarrior,2000,59,427672.0325,3604238.253,10–30 km,2,1,23.57617339,1.638802639,0.000725602,0.052087281,0.282924369,0.230837088,1.238918841,0.953451531,-0.28546731
Blackwarrior,2000,60,427681.9268,3604002.447,10–30 km,2,1,23.80577706,-5.799229527,0.00141633,0.034247986,0.212171726,0.17792374,1.238918841,0.953451531,-0.28546731
Blackwarrior,2000,61,427730.3086,3603827.769,10–30 km,2,1,23.98709049,-3.17148179,0.002885692,0.03680849,0.205227764,0.168419274,1.238918841,0.953451531,-0.28546731
Blackwarrior,2000,62,427903.4086,3603670.093,10–30 km,2,1,24.18632375,5.279835117,0.002493717,0.029752374,0.263671483,0.233919109,1.238918841,0.953451531,-0.28546731
Blackwarrior,2000,63,428175.5469,3603666.67,10–30 km,2,1,24.26647254,-6.18036823,0.002573475,0.058748944,0.190788988,0.132040044,1.238918841,0.953451531,-0.28546731
Blackwarrior,2000,64,428385.1725,3603838.1,10–30 km,2,1,24.16380452,-6.302307083,0.000851325,0.037960915,0.158025451,0.120064536,1.238918841,0.953451531,-0.28546731
Blackwarrior,2000,65,428651.6387,3604225.832,10–30 km,2,1,23.87562466,-4.313631132,0.000308124,0.047801823,0.365829843,0.31802802,1.238918841,0.953451531,-0.28546731
Blackwarrior,2000,66,428797.4198,3604632.702,10–30 km,2,1,23.53597037,-7.669384298,-8.55e-05,0.047251708,0.340688564,0.293436856,1.238918841,0.953451531,-0.28546731
Blackwarrior,2000,67,428946.2448,3604971.34,10–30 km,2,1,23.26476564,-2.757318358,-0.000755157,0.037220069,0.27681945,0.239599381,1.238918841,0.953451531,-0.28546731
Blackwarrior,2000,68,429207.2155,3605271.614,10–30 km,2,1,23.07106461,-11.73729317,-0.00052997,0.037581265,0.269563828,0.231982563,1.238918841,0.953451531,-0.28546731
Blackwarrior,2000,69,429627.4052,3605513.658,10–30 km,2,1,22.99487075,-5.136163081,-0.000266064,0.065756046,0.298282189,0.232526143,1.269338391,0.960713259,-0.308625132
Blackwarrior,2000,70,430079.3004,3605765.037,10–30 km,2,1,22.93233729,-0.488777598,-0.00028603,0.021264704,0.292393542,0.271128838,1.269338391,0.960713259,-0.308625132
Blackwarrior,2000,71,430506.0241,3605860.777,10–30 km,2,1,23.01337524,10.50281012,-0.000180421,0.056908411,0.260987311,0.2040789,1.269338391,0.960713259,-0.308625132
Blackwarrior,2000,72,430705.5346,3605886.861,10–30 km,2,1,23.07103749,-5.290440119,0.003950505,0.087600429,0.306362032,0.218761603,1.269338391,0.960713259,-0.308625132
Blackwarrior,2000,73,430843.9026,3606027.894,10–30 km,2,1,23.00026781,-4.335177018,0.004391567,0.056549513,0.324890877,0.268341364,1.269338391,0.960713259,-0.308625132
Blackwarrior,2000,74,430675.6027,3606310.375,10–30 km,2,1,22.6731608,-0.64136737,0.000269398,0.058507047,0.112808506,0.054301459,1.269338391,0.960713259,-0.308625132
Blackwarrior,2000,75,430350.5233,3606727.853,10–30 km,2,1,22.1581746,12.80002843,-0.000372791,0.153738275,0.128514609,-0.025223666,1.269338391,0.960713259,-0.308625132
Blackwarrior,2000,76,430235.4912,3606972.891,10–30 km,2,1,21.88740979,-12.55917594,-0.000268465,0.078537609,0.128708839,0.05017123,1.269338391,0.960713259,-0.308625132
Blackwarrior,2000,77,430045.7287,3607570.139,10–30 km,2,1,21.26501024,-2.57730401,-3.44e-05,0.064773242,0.249626563,0.184853321,1.269338391,0.960713259,-0.308625132
Blackwarrior,2000,78,429819.0551,3608203.009,10–30 km,2,1,20.59505648,-23.86342298,-4.64e-05,0.06162343,0.302807257,0.241183827,1.269338391,0.960713259,-0.308625132
Blackwarrior,2000,79,429768.6526,3608511.61,10–30 km,2,1,20.29376019,-4.829737955,0.001049188,0.131665766,0.203322789,0.071657023,1.269338391,0.960713259,-0.308625132
Blackwarrior,2000,80,429652.2691,3608743.213,10–30 km,2,1,20.03458629,4.667559762,0.003010487,0.0899695,0.236124306,0.146154806,1.269338391,0.960713259,-0.308625132
Blackwarrior,2000,81,429342.5428,3608798.992,10–30 km,2,1,19.85493521,-2.448155444,0.000737502,0.021191632,0.207664869,0.186473237,1.238918841,0.953451531,-0.28546731
Blackwarrior,2000,82,428827.6075,3608767.907,10–30 km,2,1,19.67793674,-2.247967592,0.000438176,0.042964649,0.217661895,0.174697246,1.238918841,0.953451531,-0.28546731
Blackwarrior,2000,83,428405.8813,3608599.437,10–30 km,2,1,19.67498342,-12.97694876,0.000443473,0.072947315,0.243455867,0.170508552,1.238918841,0.953451531,-0.28546731
Blackwarrior,2000,84,428090.3321,3608400.322,10–30 km,2,1,19.74810794,0.313948953,-4.14e-05,0.086314071,0.176609804,0.090295733,1.238918841,0.953451531,-0.28546731
Blackwarrior,2000,85,427810.7578,3608233.847,10–30 km,2,1,19.80917092,3.63953026,-0.000767538,0.079995153,0.306017313,0.22602216,1.238918841,0.953451531,-0.28546731
Blackwarrior,2000,86,427590.9763,3608202.589,10–30 km,2,1,19.76646809,-0.638807943,4.85e-05,0.08599436,0.303594219,0.217599859,1.238918841,0.953451531,-0.28546731
Blackwarrior,2000,87,427265.6692,3608126.195,10–30 km,2,1,19.73636251,-6.728862104,0.000220686,0.042344586,0.226555648,0.184211062,1.238918841,0.953451531,-0.28546731
Blackwarrior,2000,88,426809.2468,3607933.83,10–30 km,2,1,19.78530525,5.658155201,1.91e-05,0.005584743,0.101245063,0.09566032,1.238918841,0.953451531,-0.28546731
Blackwarrior,2000,89,426539.5524,3607796.84,10–30 km,2,1,19.8424605,1.677117497,-0.001623231,0.074159668,0.204807564,0.130647896,1.238918841,0.953451531,-0.28546731
Blackwarrior,2000,90,426306.1371,3607778.146,10–30 km,2,1,19.7989711,-4.069235635,-0.000955582,0.062959266,0.377128994,0.314169728,1.238918841,0.953451531,-0.28546731
Blackwarrior,2000,91,425888.8109,3607962.087,10–30 km,2,1,19.51677106,1.896693348,-0.000227171,0.062436929,0.24713752,0.184700591,1.238918841,0.953451531,-0.28546731
Blackwarrior,2000,92,425409.3108,3608166.86,10–30 km,2,1,19.20720671,-9.422647558,-0.000323692,0.036624087,0.147419801,0.110795714,1.238918841,0.953451531,-0.28546731
Blackwarrior,2000,93,425009.0822,3608463.132,10–30 km,2,1,18.83311839,-1.591750311,-0.000487432,0.022024241,0.338518883,0.316494642,1.238918841,0.953451531,-0.28546731
Blackwarrior,2000,94,424731.0303,3608812.914,10–30 km,2,1,18.43530033,5.234021172,-0.000208477,0.029841008,0.095532218,0.06569121,1.238918841,0.953451531,-0.28546731
Blackwarrior,2000,95,424432.5485,3609266.049,10–30 km,2,1,17.93440707,-12.34233958,-0.000409232,0.025331776,0.213009121,0.187677345,1.238918841,0.953451531,-0.28546731
Blackwarrior,2000,96,424262.3293,3609516.331,10–30 km,2,1,17.65787821,6.079489839,-0.000482263,0.064593957,0.19424559,0.129651633,1.238918841,0.953451531,-0.28546731
Blackwarrior,2000,97,424232.289,3610031.558,10–30 km,2,1,17.14517917,-5.87336139,0.000271256,0.067150665,0.307884271,0.240733606,1.238918841,0.953451531,-0.28546731
Blackwarrior,2000,98,424065.2239,3610374.617,10–30 km,2,1,16.778183,-2.495696455,0.000474114,0.028778704,0.476077289,0.447298585,1.238918841,0.953451531,-0.28546731
Blackwarrior,2000,99,423842.0705,3610684.385,10–30 km,2,1,16.43559801,0.552242135,-0.000346588,0.040698089,0.470369455,0.429671366,1.238918841,0.953451531,-0.28546731
Blackwarrior,2000,100,423729.63,3610930.056,10–30 km,2,1,16.17512124,-4.052874204,-0.002666198,0.060193863,0.327078439,0.266884576,1.238918841,0.953451531,-0.28546731
Blackwarrior,2000,101,423760.087,3611109.303,10–30 km,2,1,16.00288812,2.014459139,-0.001683386,0.091827057,0.293958392,0.202131335,1.238918841,0.953451531,-0.28546731
Blackwarrior,2000,102,423927.2933,3611357.314,10–30 km,2,1,15.78606566,-4.639487821,-0.001029024,0.071471568,0.412414672,0.340943104,1.238918841,0.953451531,-0.28546731
Blackwarrior,2000,103,424072.98,3611499.237,10–30 km,2,1,15.67230127,-4.736490915,-0.004007959,0.062336282,0.178936037,0.116599755,1.238918841,0.953451531,-0.28546731
Blackwarrior,2000,104,424233.7199,3611509.144,10–30 km,2,1,15.69284218,4.415832604,-0.000766193,0.040708429,0.353773462,0.313065033,1.238918841,0.953451531,-0.28546731
Blackwarrior,2000,105,424538.5739,3611441.718,10–30 km,2,1,15.82054842,1.422576371,0.00013528,0.021059023,0.345949683,0.32489066,1.238918841,0.953451531,-0.28546731
